date,open,close,high,low,volume,amount,code,name
2021-07-13,622.65,615.98,630.14,605.15,87342,714405184.0,002179,中航光电
2021-07-14,613.9,602.48,613.9,586.76,84289,672701008.0,002179,中航光电
2021-07-15,597.37,607.6,610.34,594.18,66742,535892400.0,002179,中航光电
2021-07-16,603.08,626.95,640.74,594.92,118112,982188192.0,002179,中航光电
2021-07-19,632.66,620.72,645.93,615.39,100840,838823680.0,002179,中航光电
2021-07-20,611.6,628.88,634.44,602.93,93309,775457248.0,002179,中航光电
2021-07-21,628.51,633.92,639.11,613.31,98708,828065216.0,002179,中航光电
2021-07-22,631.1,624.21,633.92,610.57,88254,726825472.0,002179,中航光电
2021-07-23,616.28,639.26,644.97,606.78,127960,1066342096.0,002179,中航光电
2021-07-26,636.81,650.01,693.09,632.74,328640,2884337200.0,002179,中航光电
2021-07-27,642.82,624.58,674.56,623.76,216144,1859127984.0,002179,中航光电
2021-07-28,605.15,595.81,617.68,575.34,143156,1134136576.0,002179,中航光电
2021-07-29,607.38,636.07,645.93,604.41,148275,1247368688.0,002179,中航光电
2021-07-30,634.74,622.95,638.52,617.09,108761,904001968.0,002179,中航光电
2021-08-02,626.29,645.93,657.5,622.21,130730,1119680752.0,002179,中航光电
2021-08-03,645.93,628.81,672.63,620.72,139413,1202154608.0,002179,中航光电
2021-08-04,631.18,660.76,661.51,624.43,116114,998291648.0,002179,中航光电
2021-08-05,665.81,689.01,721.64,651.87,218754,1995137344.0,002179,中航光电
2021-08-06,693.91,706.37,708.15,672.78,140582,1298292352.0,002179,中航光电
2021-08-09,706.37,696.58,749.74,680.49,189672,1806121104.0,002179,中航光电
2021-08-10,699.47,720.68,736.32,689.53,197594,1901526368.0,002179,中航光电
2021-08-11,722.38,725.87,731.21,709.04,116311,1112780736.0,002179,中航光电
2021-08-12,714.15,712.74,725.2,694.13,110007,1041796880.0,002179,中航光电
2021-08-13,705.25,708.22,721.57,697.99,85986,812018800.0,002179,中航光电
2021-08-16,706.07,676.04,706.07,671.15,140239,1274339776.0,002179,中航光电
2021-08-17,682.56,676.34,686.57,665.06,106255,954331504.0,002179,中航光电
2021-08-18,676.26,683.53,697.1,671.37,80631,736440208.0,002179,中航光电
2021-08-19,688.94,704.22,715.41,680.19,124898,1169936720.0,002179,中航光电
2021-08-20,712.59,713.63,734.76,688.05,103986,983087760.0,002179,中航光电
2021-08-23,723.42,770.58,784.15,720.08,215578,2201314448.0,002179,中航光电
2021-08-24,732.69,767.02,773.92,697.84,178239,1760398400.0,002179,中航光电
2021-08-25,754.86,749.15,779.18,743.66,118713,1200397216.0,002179,中航光电
2021-08-26,749.74,737.36,764.28,725.2,83785,832230976.0,002179,中航光电
2021-08-27,741.36,726.09,742.4,709.85,112270,1079190640.0,002179,中航光电
2021-08-30,727.5,758.42,775.69,727.5,152511,1546683200.0,002179,中航光电
2021-08-31,758.42,751.6,771.99,738.77,99516,1001522464.0,002179,中航光电
2021-09-01,742.33,708.44,749.74,697.1,131981,1255589440.0,002179,中航光电
2021-09-02,708.37,692.8,724.31,690.28,90418,844088912.0,002179,中航光电
2021-09-03,709.55,654.76,714.08,642.67,185444,1634034688.0,002179,中航光电
2021-09-06,646.16,667.81,671.96,642.97,93962,823992816.0,002179,中航光电
2021-09-07,668.25,664.99,685.46,653.57,93937,834205216.0,002179,中航光电
2021-09-08,661.36,645.04,663.14,632.74,125756,1082156560.0,002179,中航光电
